"name","artist","cluster_id"
"Teddy Boy","{""Paul McCartney""}",14
"The Starting Line","{Keane}",14
"Love You To (unnumbered rehearsal)","{""The Beatles""}",14
"Dark Is the Night for All","{a‐ha}",14
"Swerve (101)","{""The Wombats""}",14
"Blue Avenue","{""Elton John""}",14
"Set the Fire to the Third Bar","{""Snow Patrol"",""Martha Wainwright""}",14
"This Is the Future","{""Owl City""}",14
"Moment’s Silence (Common Tongue)","{Hozier}",14
"White Queen (As It Began)","{Queen}",14
"A Loverless Bed (W/out Remission)","{""Sufjan Stevens""}",14
"Yes","{Avicii,""Chris Martin""}",14
"Parking Lot (skit)","{Eminem}",15
"Yah Yah","{Eminem,""Royce da 5'9\"""",""Black Thought"",Q-Tip,dEnAuN}",15
"Spaceship (feat. Sheck Wes)","{""Don Toliver""}",15
"Love Game","{Tyga}",15
"Red Balloon","{""Charli xcx""}",15
"Bleed It Out","{""Linkin Park""}",15
"Rockstar","{Nickelback}",15
"The Mighty Fall","{""Fall Out Boy"",""Big Sean""}",15
"You're Never Over","{Eminem}",15
"Don’t Bring Me Down (stereo version)","{""The Animals""}",15
"Whenever, Wherever (Sahara mix)","{Shakira}",15
"Supposed","{""James Arthur""}",15
"Break the Rules","{""Charli xcx""}",15
"F‐E‐E‐L","{""The Animals""}",15
"This Is What Makes Us Girls","{""Lana Del Rey""}",15
"That Would Be Something","{""Paul McCartney""}",16
"I Believe in Father Christmas (Bonus Track)","{""Robbie Williams""}",16
"More Matey","{Keane}",16
"Winter Bird / When Winter Comes","{""Paul McCartney""}",16
"Gracious","{""Ben Howard""}",16
"Hey Ahab","{""Elton John"",""Leon Russell""}",16
"Sunburn","{""Ed Sheeran""}",16
"Soon","{""Angie McMahon""}",16
"Murder Song (acoustic)","{AURORA}",16
"Oceans","{Coldplay}",16
"Mahogany","{""Snow Patrol""}",16
"Should Have Known Better (demo)","{""Sufjan Stevens""}",16
"Undine","{""Laura Marling""}",16
"Old Pine","{""Ben Howard""}",16
"Death With Dignity","{""Sufjan Stevens""}",16
"Magnetic","{""Phillip Phillips""}",17
"Fans","{""Kings of Leon""}",17
"Blick Zurück","{""Herbert Gronemeyer""}",17
"Viertel Vor","{""Herbert Gronemeyer""}",17
"Set Fire to the Rain","{Adele}",17
"Musik nur, wenn sie laut ist","{""Herbert Gronemeyer""}",17
"Posthumous Forgiveness","{""Tame Impala""}",17
"Keine Garantie","{""Herbert Gronemeyer""}",17
"Not a Bad Thing","{""Justin Timberlake""}",17
"Einmal","{""Herbert Gronemeyer""}",17
"You Got It","{NSYNC}",17
"Amnesia","{""Justin Timberlake""}",17
"Etwas Warmes","{""Herbert Gronemeyer""}",17
"Why Can’t We Live Together","{Sade}",17
"Viel zu viel","{""Herbert Gronemeyer""}",17
"Hallelujah","{""Shawn Mendes""}",18
"Ich Dreh Mich Um Dich","{""Herbert Gronemeyer""}",18
"Wake Me Up","{""Ed Sheeran""}",18
"It Might Be Time","{""Tame Impala""}",18
"Angst","{""Herbert Gronemeyer""}",18
"Currywurst","{""Herbert Gronemeyer""}",18
"Art of Understanding","{""Coyote Theory""}",18
"Lovesong","{Adele}",18
"Kein Verlust","{""Herbert Gronemeyer""}",18
"Don't You Remember","{Adele}",18
"Curb","{Nickelback}",18
"Silent Night","{""Alexander Rybak""}",18
"Bist Du taub","{""Herbert Gronemeyer""}",18
"I'll Be Home for Christmas","{""Alexander Rybak""}",18
"Mary Ellen Makes the Moment Count (live Oslo 2001)","{a‐ha}",18
"Rain (take 5 / slowed down for master tape)","{""The Beatles""}",19
"Family Table","{""Bill Withers""}",19
"People Make The World Go 'Round","{""Michael Jackson""}",19
"Polythene Pam","{""The Beatles""}",19
"Time for Change","{""Robbie Williams""}",19
"Doggin' Around","{""Michael Jackson""}",19
"Seaside Rendezvous","{Queen}",19
"VISTO CARO","{""Becky G""}",19
"And Your Bird Can Sing (first version / take 2)","{""The Beatles""}",19
"Solar Prestige a Gammon","{""Elton John""}",19
"Ghosts","{""Robbie Williams""}",19
"Bound 2","{Ye}",19
"From The Jump (Duet Version)","{""James Arthur"",""Kelly Clarkson""}",19
"Make Love to Your Mind","{""Bill Withers""}",19
"Lucy in the Sky With Diamonds (remastered 2017)","{""The Beatles""}",19
"Big Ideas","{""Arctic Monkeys""}",20
"Marion","{""Bon Iver""}",20
"Isaac","{Madonna}",20
"The Night We Met","{""Lord Huron""}",20
"She Said She Said (take 15 / backing track rehearsal)","{""The Beatles""}",20
"I Was Just a Card","{""Laura Marling""}",20
"On the Day Shift Now / All Things Must Pass (Rehearsals) (mono)","{""The Beatles""}",20
"Waiting for Her","{a‐ha}",20
"Don’t Go Away (demo)","{Oasis}",20
"Goodbye England (Covered in Snow)","{""Laura Marling""}",20
"8 (circle)","{""Bon Iver""}",20
"Golden Slumbers","{""The Beatles""}",20
"Blues for Baby and Me","{""Elton John""}",20
"Saved These Words","{""Laura Marling""}",20
"Jacksonville","{""Sufjan Stevens""}",20
"Kisses of Fire","{ABBA}",21
"Never Change","{""Lukas Graham""}",21
"New Heights","{""Ellie Goulding""}",21
"I’ve Been Waiting for You","{ABBA}",21
"You Keep Me Crawling","{AURORA}",21
"Finally","{""James Arthur""}",21
"Natural","{""Imagine Dragons""}",21
"Fall Apart","{""Tones and I""}",21
"Das Paradies","{Bosse}",21
"Rocket in the Sky","{SHAED}",21
"Let's Not Go Shopping","{""Robbie Williams""}",21
"Elizabeth Taylor","{""Taylor Swift""}",21
"Only Our Hearts","{""Paul McCartney""}",21
"Trampoline","{SHAED,ZAYN}",21
"Disaster Button","{""Snow Patrol""}",21
"My Song","{""Alessia Cara""}",22
"Wonderland","{Seafret}",22
"Home Is Where the Hurt Is","{""The Script""}",22
"Friday I'm in Love","{""Natalie Imbruglia""}",22
